stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent,geometry,troncon_unique_id
S5512,S5485,La Martelle,Grèzes,43.607352615,3.826643465,43.60970196,3.827725415,"LINESTRING (3.826643465 43.607352615, 3.827725415 43.60970196)",TU000000
S5485,S5435,Grèzes,Croix des Rosiers,43.60970196,3.827725415,43.61077117,3.83069788,"LINESTRING (3.827725415 43.60970196, 3.83069788 43.61077117)",TU000001
S5435,S5923,Croix des Rosiers,Mourèze,43.61077117,3.83069788,43.60736086,3.83223552,"LINESTRING (3.83069788 43.61077117, 3.83223552 43.60736086)",TU000002
S5923,S5920,Mourèze,Alexandre Yersin,43.60736086,3.83223552,43.60396102,3.832690825,"LINESTRING (3.83223552 43.60736086, 3.832690825 43.60396102)",TU000003
S5920,S5658,Alexandre Yersin,Sophie Germain,43.60396102,3.832690825,43.60505589,3.83542253,"LINESTRING (3.832690825 43.60396102, 3.83542253 43.60505589)",TU000004
S5658,S5550,Sophie Germain,Martellière,43.60505589,3.83542253,43.606950095,3.837878445,"LINESTRING (3.83542253 43.60505589, 3.837878445 43.606950095)",TU000005
S5550,S5540,Martellière,Lycée Jules Ferry,43.606950095,3.837878445,43.608687295,3.840955145,"LINESTRING (3.837878445 43.606950095, 3.840955145 43.608687295)",TU000006
S5540,S5463,Lycée Jules Ferry,François Dezeuze,43.608687295,3.840955145,43.60863318,3.84613126,"LINESTRING (3.840955145 43.608687295, 3.84613126 43.60863318)",TU000007
S5463,S5457,François Dezeuze,Figairasse,43.60863318,3.84613126,43.607120475,3.850489305,"LINESTRING (3.84613126 43.60863318, 3.850489305 43.607120475)",TU000008
S5457,S5449,Figairasse,Étoile,43.607120475,3.850489305,43.60516753,3.854816865,"LINESTRING (3.850489305 43.607120475, 3.854816865 43.60516753)",TU000009
S5449,S5554,Étoile,Mas de Merle,43.60516753,3.854816865,43.604401695,3.85749953,"LINESTRING (3.854816865 43.60516753, 3.85749953 43.604401695)",TU000010
S5554,S5483,Mas de Merle,Cité Créative,43.604401695,3.85749953,43.60305623,3.86271499,"LINESTRING (3.85749953 43.604401695, 3.86271499 43.60305623)",TU000011
S5483,S5436,Cité Créative,Croix du Capitaine,43.60305623,3.86271499,43.60204833,3.86660945,"LINESTRING (3.86271499 43.60305623, 3.86660945 43.60204833)",TU000012
S5436,S5391,Croix du Capitaine,Berthelot,43.60204833,3.86660945,43.60124442,3.86942068,"LINESTRING (3.86660945 43.60204833, 3.86942068 43.60124442)",TU000013
S5391,S5922,Berthelot,Ernest Michel,43.60124442,3.86942068,43.59958804,3.87338406,"LINESTRING (3.86942068 43.60124442, 3.87338406 43.59958804)",TU000014
S5922,S5629,Ernest Michel,Rondelet,43.59958804,3.87338406,43.6033504316667,3.875474865,"LINESTRING (3.87338406 43.59958804, 3.875474865 43.6033504316667)",TU000015
S5629,S5827,Rondelet,Gare Saint-Roch (Pont de Sète),43.6033504316667,3.875474865,43.6040141375,3.878528735,"LINESTRING (3.875474865 43.6033504316667, 3.878528735 43.6040141375)",TU000016
S5827,S5465,Gare Saint-Roch (Pont de Sète),Frédéric Bazille,43.6040141375,3.878528735,43.60271354,3.88053167,"LINESTRING (3.878528735 43.6040141375, 3.88053167 43.60271354)",TU000017
S5465,S5416,Frédéric Bazille,Cité Mion,43.60271354,3.88053167,43.600936575,3.884726605,"LINESTRING (3.88053167 43.60271354, 3.884726605 43.600936575)",TU000018
S5416,S5500,Cité Mion,Iris,43.600936575,3.884726605,43.59875025,3.885483755,"LINESTRING (3.884726605 43.600936575, 3.885483755 43.59875025)",TU000019
S5500,S5466,Iris,Frédéric Fabrège,43.59875025,3.885483755,43.597363925,3.88655942,"LINESTRING (3.885483755 43.59875025, 3.88655942 43.597363925)",TU000020
S5466,S5536,Frédéric Fabrège,Lucullus,43.597363925,3.88655942,43.594773645,3.888530005,"LINESTRING (3.88655942 43.597363925, 3.888530005 43.594773645)",TU000021
S5536,S5414,Lucullus,Cité de l'Arme,43.594773645,3.888530005,43.593462115,3.88940347,"LINESTRING (3.888530005 43.594773645, 3.88940347 43.593462115)",TU000022
S5414,S5470,Cité de l'Arme,Garcia Lorca,43.593462115,3.88940347,43.59120512625,3.89046299125,"LINESTRING (3.88940347 43.593462115, 3.89046299125 43.59120512625)",TU000023
S5470,S5551,Garcia Lorca,Mas Argelliers,43.59120512625,3.89046299125,43.58666355,3.889262025,"LINESTRING (3.89046299125 43.59120512625, 3.889262025 43.58666355)",TU000024
S5551,S5655,Mas Argelliers,Saporta,43.58666355,3.889262025,43.584111735,3.887925135,"LINESTRING (3.889262025 43.58666355, 3.887925135 43.584111735)",TU000025
S5655,S5556,Saporta,Mas Saint-Pierre,43.584111735,3.887925135,43.58211885,3.87987639,"LINESTRING (3.887925135 43.584111735, 3.87987639 43.58211885)",TU000026
S5556,S5663,Mas Saint-Pierre,Tournezy,43.58211885,3.87987639,43.57912723,3.87785425,"LINESTRING (3.87987639 43.58211885, 3.87785425 43.57912723)",TU000027
S5416,S5604,Cité Mion,Place Carnot,43.600936575,3.884726605,43.6036317566667,3.88400791,"LINESTRING (3.884726605 43.600936575, 3.88400791 43.6036317566667)",TU000028
S5604,S5494,Place Carnot,Henri René,43.6036317566667,3.88400791,43.60310677,3.88195254,"LINESTRING (3.88400791 43.6036317566667, 3.88195254 43.60310677)",TU000029
S5494,S5827,Henri René,Gare Saint-Roch (Pont de Sète),43.60310677,3.88195254,43.6040141375,3.878528735,"LINESTRING (3.88195254 43.60310677, 3.878528735 43.6040141375)",TU000030
S5391,S5609,Berthelot,Place du 8 Mai,43.60124442,3.86942068,43.599775995,3.86678363,"LINESTRING (3.86942068 43.60124442, 3.86678363 43.599775995)",TU000031
S5609,S5487,Place du 8 Mai,Guillaume Janvier,43.599775995,3.86678363,43.598040665,3.864900295,"LINESTRING (3.86678363 43.599775995, 3.864900295 43.598040665)",TU000032
S5487,S5965,Guillaume Janvier,Parc Montcalm,43.598040665,3.864900295,43.59999468,3.85988711,"LINESTRING (3.864900295 43.598040665, 3.85988711 43.59999468)",TU000033
S5965,S5966,Parc Montcalm,Chamberte - Les Roses,43.59999468,3.85988711,43.60330554,3.85649926,"LINESTRING (3.85988711 43.59999468, 3.85649926 43.60330554)",TU000034
S5966,S5554,Chamberte - Les Roses,Mas de Merle,43.60330554,3.85649926,43.604401695,3.85749953,"LINESTRING (3.85649926 43.60330554, 3.85749953 43.604401695)",TU000035
S5923,S5488,Mourèze,Gustave Eiffel,43.60736086,3.83223552,43.60926412,3.83274311,"LINESTRING (3.83223552 43.60736086, 3.83274311 43.60926412)",TU000036
S5488,S5435,Gustave Eiffel,Croix des Rosiers,43.60926412,3.83274311,43.61077117,3.83069788,"LINESTRING (3.83274311 43.60926412, 3.83069788 43.61077117)",TU000037
S5401,S5622,Celleneuve,Renaudel,43.615757055,3.82588522,43.61462255,3.82813844,"LINESTRING (3.82588522 43.615757055, 3.82813844 43.61462255)",TU000038
S5622,S5548,Renaudel,Marie Curie,43.61462255,3.82813844,43.61480082,3.83118066,"LINESTRING (3.82813844 43.61462255, 3.83118066 43.61480082)",TU000039
S5548,S5589,Marie Curie,Petit Bard,43.61480082,3.83118066,43.614609405,3.835271085,"LINESTRING (3.83118066 43.61480082, 3.835271085 43.614609405)",TU000040
S5589,S5662,Petit Bard,Tonnelles,43.614609405,3.835271085,43.6136009216667,3.83884714833333,"LINESTRING (3.835271085 43.614609405, 3.83884714833333 43.6136009216667)",TU000041
S5662,S5389,Tonnelles,Belvédère,43.6136009216667,3.83884714833333,43.617129325,3.842513825,"LINESTRING (3.83884714833333 43.6136009216667, 3.842513825 43.617129325)",TU000042
S5389,S5634,Belvédère,Saint-Clément,43.617129325,3.842513825,43.617731755,3.84444143,"LINESTRING (3.842513825 43.617129325, 3.84444143 43.617731755)",TU000043
S5634,S5517,Saint-Clément,Las Cazes,43.617731755,3.84444143,43.61632218,3.84689126,"LINESTRING (3.84444143 43.617731755, 3.84689126 43.61632218)",TU000044
S5517,S5446,Las Cazes,Espérance,43.61632218,3.84689126,43.614251535,3.84968228,"LINESTRING (3.84689126 43.61632218, 3.84968228 43.614251535)",TU000045
S5446,S5638,Espérance,Saint-Gabriel,43.614251535,3.84968228,43.61456306,3.852152755,"LINESTRING (3.84968228 43.614251535, 3.852152755 43.61456306)",TU000046
S5638,S5519,Saint-Gabriel,Las Sorbes,43.61456306,3.852152755,43.615220485,3.85495415,"LINESTRING (3.852152755 43.61456306, 3.85495415 43.615220485)",TU000047
S5519,S5444,Las Sorbes,Érables,43.615220485,3.85495415,43.614953865,3.856976245,"LINESTRING (3.85495415 43.615220485, 3.856976245 43.614953865)",TU000048
S5444,S5535,Érables,Louvain,43.614953865,3.856976245,43.61339519,3.8588216,"LINESTRING (3.856976245 43.614953865, 3.8588216 43.61339519)",TU000049
S5535,S5384,Louvain,Avenue de l'Agriculture,43.61339519,3.8588216,43.612139885,3.8611451,"LINESTRING (3.8588216 43.61339519, 3.8611451 43.612139885)",TU000050
S5384,S5481,Avenue de l'Agriculture,Glycines,43.612139885,3.8611451,43.6119354,3.86353371,"LINESTRING (3.8611451 43.612139885, 3.86353371 43.6119354)",TU000051
S5481,S5576,Glycines,Paladilhe,43.6119354,3.86353371,43.61219869,3.86685039,"LINESTRING (3.86353371 43.6119354, 3.86685039 43.61219869)",TU000052
S5576,S5440,Paladilhe,Doria,43.61219869,3.86685039,43.61261756,3.86784935666667,"LINESTRING (3.86685039 43.61219869, 3.86784935666667 43.61261756)",TU000053
S5440,S5648,Doria,Saint-Roch,43.61261756,3.86784935666667,43.6152104,3.86969648,"LINESTRING (3.86784935666667 43.61261756, 3.86969648 43.6152104)",TU000054
S5648,S5513,Saint-Roch,La Pile,43.6152104,3.86969648,43.61731833,3.86811974,"LINESTRING (3.86969648 43.6152104, 3.86811974 43.61731833)",TU000055
S5513,S5495,La Pile,Hippolyte Rech,43.61731833,3.86811974,43.61958296,3.865631395,"LINESTRING (3.86811974 43.61731833, 3.865631395 43.61958296)",TU000056
S5495,S5593,Hippolyte Rech,Pierre d'Adhémar,43.61958296,3.865631395,43.622150195,3.86399242,"LINESTRING (3.865631395 43.61958296, 3.86399242 43.622150195)",TU000057
S5593,S5456,Pierre d'Adhémar,Fac de Pharmacie,43.622150195,3.86399242,43.624126705,3.86248603,"LINESTRING (3.86399242 43.622150195, 3.86248603 43.624126705)",TU000058
S5456,S5637,Fac de Pharmacie,Saint-Éloi,43.624126705,3.86248603,43.626668085,3.8660221925,"LINESTRING (3.86248603 43.624126705, 3.8660221925 43.626668085)",TU000059
S5637,S5492,Saint-Éloi,Henri Dunant,43.626668085,3.8660221925,43.626838505,3.869068085,"LINESTRING (3.8660221925 43.626668085, 3.869068085 43.626838505)",TU000060
S5492,S5651,Henri Dunant,Sainte-Odile,43.626838505,3.869068085,43.622700135,3.873090225,"LINESTRING (3.869068085 43.626838505, 3.873090225 43.622700135)",TU000061
S5651,S5547,Sainte-Odile,Marie Caizergues,43.622700135,3.873090225,43.621260205,3.87541501,"LINESTRING (3.873090225 43.622700135, 3.87541501 43.621260205)",TU000062
S5547,S5568,Marie Caizergues,Nazareth,43.621260205,3.87541501,43.621680905,3.880277185,"LINESTRING (3.87541501 43.621260205, 3.880277185 43.621680905)",TU000063
S5568,S5596,Nazareth,Pierre Rouge,43.621680905,3.880277185,43.62299662,3.882571165,"LINESTRING (3.880277185 43.621680905, 3.882571165 43.62299662)",TU000064
S5596,S5368,Pierre Rouge,Aiguelongue,43.62299662,3.882571165,43.6264142775,3.8826203625,"LINESTRING (3.882571165 43.62299662, 3.8826203625 43.6264142775)",TU000065
S5368,S5420,Aiguelongue,Clolus,43.6264142775,3.8826203625,43.628602545,3.881256355,"LINESTRING (3.8826203625 43.6264142775, 3.881256355 43.628602545)",TU000066
S5420,S5373,Clolus,Alpilles,43.628602545,3.881256355,43.629986475,3.8794002,"LINESTRING (3.881256355 43.628602545, 3.8794002 43.629986475)",TU000067
S5373,S5406,Alpilles,Chantecler,43.629986475,3.8794002,43.632372095,3.878220775,"LINESTRING (3.8794002 43.629986475, 3.878220775 43.632372095)",TU000068
S5406,S5601,Chantecler,Pioch de Boutonnet,43.632372095,3.878220775,43.63389396,3.87740783,"LINESTRING (3.878220775 43.632372095, 3.87740783 43.63389396)",TU000069
S5601,S5565,Pioch de Boutonnet,Moulin de Gasconnet,43.63389396,3.87740783,43.63388536,3.87453608,"LINESTRING (3.87740783 43.63389396, 3.87453608 43.63388536)",TU000070
S5565,S5623,Moulin de Gasconnet,René Bougnol,43.63388536,3.87453608,43.63647685,3.87404888,"LINESTRING (3.87453608 43.63388536, 3.87404888 43.63647685)",TU000071
S5623,S5379,René Bougnol,Antoine-Laurent de Jussieu,43.63647685,3.87404888,43.63730763,3.88010551,"LINESTRING (3.87404888 43.63647685, 3.88010551 43.63730763)",TU000072
S5379,S5369,Antoine-Laurent de Jussieu,Aiguelongue (Jussieu),43.63730763,3.88010551,43.638474885,3.88303977,"LINESTRING (3.88010551 43.63730763, 3.88303977 43.638474885)",TU000073
S5637,S5593,Saint-Éloi,Pierre d'Adhémar,43.626668085,3.8660221925,43.622150195,3.86399242,"LINESTRING (3.8660221925 43.626668085, 3.86399242 43.622150195)",TU000074
S5495,S5942,Hippolyte Rech,Portalière des Masques,43.61958296,3.865631395,43.61725226,3.86643516,"LINESTRING (3.865631395 43.61958296, 3.86643516 43.61725226)",TU000075
S5942,S5576,Portalière des Masques,Paladilhe,43.61725226,3.86643516,43.61219869,3.86685039,"LINESTRING (3.86643516 43.61725226, 3.86685039 43.61219869)",TU000076
S5498,S5539,Hôtel du Département,Lycée Jean Monnet,43.62187434,3.83501314,43.624228285,3.834948055,"LINESTRING (3.83501314 43.62187434, 3.834948055 43.624228285)",TU000077
S5539,S5504,Lycée Jean Monnet,Jean Bart,43.624228285,3.834948055,43.62558389,3.83767525,"LINESTRING (3.834948055 43.624228285, 3.83767525 43.62558389)",TU000078
S5504,S5409,Jean Bart,Château d'Ô,43.62558389,3.83767525,43.631475258,3.842887188,"LINESTRING (3.83767525 43.62558389, 3.842887188 43.631475258)",TU000079
S5409,S5612,Château d'Ô,Pléiade,43.631475258,3.842887188,43.62848701,3.84579593,"LINESTRING (3.842887188 43.631475258, 3.84579593 43.62848701)",TU000080
S5612,S5460,Pléiade,Font Trouvé,43.62848701,3.84579593,43.626943105,3.84788374,"LINESTRING (3.84579593 43.62848701, 3.84788374 43.626943105)",TU000081
S5460,S5471,Font Trouvé,Gardioles,43.626943105,3.84788374,43.62489357,3.851412125,"LINESTRING (3.84788374 43.626943105, 3.851412125 43.62489357)",TU000082
S5471,S5403,Gardioles,Cervantès,43.62489357,3.851412125,43.62259024,3.854760265,"LINESTRING (3.851412125 43.62489357, 3.854760265 43.62259024)",TU000083
S5403,S5515,Cervantès,La Source,43.62259024,3.854760265,43.62136678,3.856423045,"LINESTRING (3.854760265 43.62259024, 3.856423045 43.62136678)",TU000084
S5515,S5417,La Source,Cité Roger,43.62136678,3.856423045,43.62043117,3.858390405,"LINESTRING (3.856423045 43.62136678, 3.858390405 43.62043117)",TU000085
S5417,S5616,Cité Roger,Pous de la Sers,43.62043117,3.858390405,43.619204985,3.861519295,"LINESTRING (3.858390405 43.62043117, 3.861519295 43.619204985)",TU000086
S5616,S5542,Pous de la Sers,Maison des Sports,43.619204985,3.861519295,43.61838562,3.86447951,"LINESTRING (3.861519295 43.619204985, 3.86447951 43.61838562)",TU000087
S5542,S5942,Maison des Sports,Portalière des Masques,43.61838562,3.86447951,43.61725226,3.86643516,"LINESTRING (3.86447951 43.61838562, 3.86643516 43.61725226)",TU000088
S5942,S5440,Portalière des Masques,Doria,43.61725226,3.86643516,43.61261756,3.86784935666667,"LINESTRING (3.86643516 43.61725226, 3.86784935666667 43.61261756)",TU000089
S5513,S5542,La Pile,Maison des Sports,43.61731833,3.86811974,43.61838562,3.86447951,"LINESTRING (3.86811974 43.61731833, 3.86447951 43.61838562)",TU000090
S5471,S5566,Gardioles,Mûriers,43.62489357,3.851412125,43.62619707,3.84916342,"LINESTRING (3.851412125 43.62489357, 3.84916342 43.62619707)",TU000091
S5566,S5460,Mûriers,Font Trouvé,43.62619707,3.84916342,43.626943105,3.84788374,"LINESTRING (3.84916342 43.62619707, 3.84788374 43.626943105)",TU000092
