stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent,geometry,troncon_unique_id
S5633,S5672,Sabines,Villeneuve d'Angoulême,43.583822352,3.860158464,43.58873839,3.865721295,"LINESTRING (3.860158464 43.583822352, 3.865721295 43.58873839)",TU000000
S5672,S5433,Villeneuve d'Angoulême,Croix d'Argent,43.58873839,3.865721295,43.59236867,3.86646159,"LINESTRING (3.865721295 43.58873839, 3.86646159 43.59236867)",TU000001
S5433,S5555,Croix d'Argent,Mas Drevon,43.59236867,3.86646159,43.59547669,3.867899195,"LINESTRING (3.86646159 43.59236867, 3.867899195 43.59547669)",TU000002
S5555,S5523,Mas Drevon,Lemasson,43.59547669,3.867899195,43.593723715,3.87328818,"LINESTRING (3.867899195 43.59547669, 3.87328818 43.593723715)",TU000003
S5523,S5635,Lemasson,Saint-Cléophas,43.593723715,3.87328818,43.5949304025,3.8758284025,"LINESTRING (3.87328818 43.593723715, 3.8758284025 43.5949304025)",TU000004
S5635,S5569,Saint-Cléophas,Nouveau Saint-Roch,43.5949304025,3.8758284025,43.59952028,3.875621165,"LINESTRING (3.8758284025 43.5949304025, 3.875621165 43.59952028)",TU000005
S5569,S5629,Nouveau Saint-Roch,Rondelet,43.59952028,3.875621165,43.6033504316667,3.875474865,"LINESTRING (3.875621165 43.59952028, 3.875474865 43.6033504316667)",TU000006
S5629,S5472,Rondelet,Gare Saint-Roch,43.6033504316667,3.875474865,43.60575272,3.88016845,"LINESTRING (3.875474865 43.6033504316667, 3.88016845 43.60575272)",TU000007
S5472,S5426,Gare Saint-Roch,Comédie,43.60575272,3.88016845,43.608366295,3.87970708,"LINESTRING (3.88016845 43.60575272, 3.87970708 43.608366295)",TU000008
S5426,S5431,Comédie,Corum,43.608366295,3.87970708,43.6142813775,3.881920795,"LINESTRING (3.87970708 43.608366295, 3.881920795 43.6142813775)",TU000009
S5431,S5387,Corum,Beaux-Arts,43.6142813775,3.881920795,43.61700916,3.8835351,"LINESTRING (3.881920795 43.6142813775, 3.8835351 43.61700916)",TU000010
S5387,S5509,Beaux-Arts,Jeu de Mail des Abbés,43.61700916,3.8835351,43.6202108,3.88407348,"LINESTRING (3.8835351 43.61700916, 3.88407348 43.6202108)",TU000011
S5509,S5368,Jeu de Mail des Abbés,Aiguelongue,43.6202108,3.88407348,43.6264142775,3.8826203625,"LINESTRING (3.88407348 43.6202108, 3.8826203625 43.6264142775)",TU000012
S5368,S5642,Aiguelongue,Saint-Lazare,43.6264142775,3.8826203625,43.6269325875,3.88880371,"LINESTRING (3.8826203625 43.6264142775, 3.88880371 43.6269325875)",TU000013
S5642,S5177,Saint-Lazare,Charles de Gaulle,43.6269325875,3.88880371,43.62817536375,3.8974032625,"LINESTRING (3.88880371 43.6269325875, 3.8974032625 43.62817536375)",TU000014
S5177,S5181,Charles de Gaulle,Clairval,43.62817536375,3.8974032625,43.630206265,3.902593475,"LINESTRING (3.8974032625 43.62817536375, 3.902593475 43.630206265)",TU000015
S5181,S5189,Clairval,La Galine,43.630206265,3.902593475,43.63147046,3.909026945,"LINESTRING (3.902593475 43.630206265, 3.909026945 43.63147046)",TU000016
S5189,S5176,La Galine,Centurions,43.63147046,3.909026945,43.63281155,3.915710385,"LINESTRING (3.909026945 43.63147046, 3.915710385 43.63281155)",TU000017
S5176,S5196,Centurions,Notre-Dame de Sablassou,43.63281155,3.915710385,43.6341134433333,3.92248383166667,"LINESTRING (3.915710385 43.63281155, 3.92248383166667 43.6341134433333)",TU000018
S5196,S5170,Notre-Dame de Sablassou,Aube Rouge,43.6341134433333,3.92248383166667,43.6389648725,3.9244866975,"LINESTRING (3.92248383166667 43.6341134433333, 3.9244866975 43.6389648725)",TU000019
S5170,S5818,Aube Rouge,Via Domitia,43.6389648725,3.9244866975,43.6465206325,3.9301688725,"LINESTRING (3.9244866975 43.6389648725, 3.9301688725 43.6465206325)",TU000020
S5818,S5186,Via Domitia,Georges Pompidou,43.6465206325,3.9301688725,43.64926689,3.92099404,"LINESTRING (3.9301688725 43.6465206325, 3.92099404 43.64926689)",TU000021
S5186,S5291,Georges Pompidou,Jacou,43.64926689,3.92099404,43.65462876,3.91282845333333,"LINESTRING (3.92099404 43.64926689, 3.91282845333333 43.65462876)",TU000022
S5760,S5761,Saint-Jean de Védas Centre,Saint-Jean le Sec,43.5748751566667,3.83045819333333,43.5708042575,3.8378316925,"LINESTRING (3.83045819333333 43.5748751566667, 3.8378316925 43.5708042575)",TU000023
S5761,S5751,Saint-Jean le Sec,La Condamine,43.5708042575,3.8378316925,43.571601,3.84420752,"LINESTRING (3.8378316925 43.5708042575, 3.84420752 43.571601)",TU000024
S5751,S5766,La Condamine,Victoire 2,43.571601,3.84420752,43.57478939,3.84955883,"LINESTRING (3.84420752 43.571601, 3.84955883 43.57478939)",TU000025
S5766,S5633,Victoire 2,Sabines,43.57478939,3.84955883,43.583822352,3.860158464,"LINESTRING (3.84955883 43.57478939, 3.860158464 43.583822352)",TU000026
S5470,S5514,Garcia Lorca,La Rauze,43.59120512625,3.89046299125,43.59349246,3.895730795,"LINESTRING (3.89046299125 43.59120512625, 3.895730795 43.59349246)",TU000027
S5514,S5479,La Rauze,Georges Frêche - Hôtel de Ville,43.59349246,3.895730795,43.5993348,3.89485735,"LINESTRING (3.895730795 43.59349246, 3.89485735 43.5993348)",TU000028
S5479,S5627,Georges Frêche - Hôtel de Ville,Rives du Lez,43.5993348,3.89485735,43.60404424,3.89493632,"LINESTRING (3.89485735 43.5993348, 3.89493632 43.60404424)",TU000029
S5627,S5606,Rives du Lez,Place de l'Europe,43.60404424,3.89493632,43.6073732642857,3.89375728142857,"LINESTRING (3.89493632 43.60404424, 3.89375728142857 43.6073732642857)",TU000030
S5606,S5613,Place de l'Europe,Pompignane,43.6073732642857,3.89375728142857,43.612593195,3.89495302,"LINESTRING (3.89375728142857 43.6073732642857, 3.89495302 43.612593195)",TU000031
S5613,S5528,Pompignane,Les Aubes,43.612593195,3.89495302,43.6138008275,3.8886448375,"LINESTRING (3.89495302 43.612593195, 3.8886448375 43.6138008275)",TU000032
S5528,S5431,Les Aubes,Corum,43.6138008275,3.8886448375,43.6142813775,3.881920795,"LINESTRING (3.8886448375 43.6138008275, 3.881920795 43.6142813775)",TU000033
S5431,S5532,Corum,Louis Blanc - Agora de la Danse,43.6142813775,3.881920795,43.61474115,3.87836359,"LINESTRING (3.881920795 43.6142813775, 3.87836359 43.61474115)",TU000034
S5532,S5837,Louis Blanc - Agora de la Danse,Albert 1er - Cathédrale,43.61474115,3.87836359,43.614789335,3.873712615,"LINESTRING (3.87836359 43.61474115, 3.873712615 43.614789335)",TU000035
S5837,S5590,Albert 1er - Cathédrale,Peyrou - Arc de Triomphe,43.614789335,3.873712615,43.611411855,3.872260775,"LINESTRING (3.873712615 43.614789335, 3.872260775 43.611411855)",TU000036
S5590,S5639,Peyrou - Arc de Triomphe,Saint-Guilhem - Courreau,43.611411855,3.872260775,43.607957435,3.873695805,"LINESTRING (3.872260775 43.611411855, 3.873695805 43.607957435)",TU000037
S5639,S5570,Saint-Guilhem - Courreau,Observatoire,43.607957435,3.873695805,43.60648325,3.876532465,"LINESTRING (3.873695805 43.607957435, 3.876532465 43.60648325)",TU000038
